"HUAWEI MateBook D 15 BoM-WFQ9,matebookD15,""Ультрабук HUAWEI MateBook D 15 BoM-WFQ9 выполнен в алюминиевом корпусе с элегантной расцветкой и способен обеспечить весьма высокую производительность при решении различных повседневных задач. Компактный ноутбук функционирует под управлением ОС Windows 11 Home. В аппаратное оснащение данной модели входят процессор AMD Ryzen 5 5500U, 16 ГБ памяти ОЗУ и накопитель SSD 512 ГБ."

"На экране 15.6 дюйма IPS FullHD с тонкой рамкой отображается реалистичная картинка с насыщенными и яркими оттенками. Благодаря матовой поверхности и режиму защиты зрения снижается нагрузка на глаза, в результате чего повышаются безопасность и комфорт просмотра. Для общения по видеосвязи имеются веб-камера и микрофон. Широкий набор интерфейсов гарантирует удобство подключения к необходимым устройствам проводным и беспроводным способами. Среди других особенностей HUAWEI MateBook D 15 отмечаются эргономичная клавиатура, сканер отпечатков пальцев, до 7.4 часов работы без подзарядки и поддержка функции ускоренного восстановления ресурса аккумулятора."",59999.00,media/photos/23/03/22/bd8f5f8543c8eb87f163f5017a074d358fb92e738fcf5975be2c67811f71136b_LvfTYre.png,2023-03-22T18:13:48.830Z,2023-03-30T18:16:08.457Z,1,""15""""6"",IPS,2.1 ГГц,12 ГБ,AMD Radeon Graphics,7.4 ч"

"Apple MacBook Air 13.3,macbookair13,""Ноутбук Apple MacBook Air разработан с учетом динамичного образа жизни. Он предлагает широкие возможности для решения повседневных задач. Достаточно высокая производительность достигается благодаря процессору Apple M1 с 8 ядрами, 8 ГБ памяти ОЗУ и накопителю SSD 256 ГБ. На экране 13.3 дюйма IPS с разрешением 2560x1600 пикселей отображается четкая и красочная картинка."

"Клавиатура с белой LED-подсветкой и эргономичной раскладкой гарантирует удобство работы в программах в любое время суток. В портативном компьютере реализованы средства проводной и беспроводной коммуникации, среди которых: USB Type-A и Type-C, Thunderbolt 3, Wi-Fi 6, Bluetooth 5.0. Для общения по видеосвязи предлагается веб-камера. Аккумулятор гарантирует до 18 часов автономности Apple MacBook Air и поддерживает стандарт ускоренной зарядки."",83699.00,media/photos/23/03/22/bc1311aa320af2e639161b8f6b03f01d7f1d915c9186421f8472626fcad1195a.png,2023-03-22T18:17:05.042Z,2023-03-22T18:17:05.042Z,1,13.3,IPS,2.5 ГГц,8 ГБ,Apple M1 7-core,18 Ч"

MSI Modern 14 C5M-011XRU,msimodern,Норм ноутбук,40990.00,media/photos/23/04/17/1848462_v01_b.webp,2023-04-17T08:55:46.226Z,2023-04-17T08:55:46.226Z,1,14,IPS,AMD Ryzen 5 5625U 2.3 ГГц,8 ГБ,AMD Radeon Graphics,3 часа

"HUAWEI MateBook D 15 BoM-WFQ9,matebookD15,""Ультрабук HUAWEI MateBook D 15 BoM-WFQ9 выполнен в алюминиевом корпусе с элегантной расцветкой и способен обеспечить весьма высокую производительность при решении различных повседневных задач. Компактный ноутбук функционирует под управлением ОС Windows 11 Home. В аппаратное оснащение данной модели входят процессор AMD Ryzen 5 5500U, 16 ГБ памяти ОЗУ и накопитель SSD 512 ГБ."

