id,title,slug,description,price,photo,time_create,time_update,category,diagonal,display,resolution,battery_volume,ram,sd,sd_volume,main_cam_mp,front_cam_mp
1,Смартфон Poco M5s 4/128 ГБ,pocom5s,Смартфон Poco M5s 4/128 ГБ,14765.00,photos/23/03/23/6422567754_M5hL0uM.jpg,2023-03-22 18:22:09.321780+00:00,2023-03-30 17:55:11.395901+00:00,Смартфоны,6.43,AMOLED,2400x1080,Li-Ion 5000мА*ч,4 ГБ,True,1000 ГБ,64 МП,13 МП
2,"6.1"" Смартфон Apple iPhone 13 128 ГБ черный",iphone13,"Не существует ни одной задачи, с выполнением которой не справился бы смартфон Apple iPhone 13. Неважно, что необходимо пользователю в текущий момент – навигация между окнами, быстрая загрузка приложений или мгновенная обработка данных. С 6-ядерным процессором Apple A15 Bionic вы не ощутите малейших задержек, наслаждаясь высокой производительностью на протяжении всего дня. Создавайте яркие памятные снимки с детальным отображением каждого элемента, а вашей помощницей станет двойная основная камера с предустановленными эффектами.
Транслируемые на 6.1-дюймовый экран смартфона Apple iPhone 13 изображения захватывают дух реалистичностью и контрастностью, ведь их разрешение достигает 2532х1170 пикселей. Выполненный из стекла и металла корпус отличает устойчивость не только к внешним агрессивным воздействиям, но и влаге – а все благодаря защите по стандарту IP68 и покрытию Ceramic Shield. Сканер лица выступит в качестве надежного «щита» против несанкционированного доступа к личной информации.",64399.00,photos/23/03/22/97c5cac2aabbc83a09317e4d7677d6d626118dbf0370881c9229fb2fc494644e.jpg,2023-03-22 18:26:32.315641+00:00,2023-03-22 18:26:32.315641+00:00,Смартфоны,6'1,OLED,2532x1170 Пикс,Li-Ion 5000мА*ч,6 ГБ,False,,12 МП,12 МП
